City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
362,Payo,ID,77.34,-3.7508,103.6372,
363,Yongchang,CN,69.58,30.0381,119.7317,
365,Grand Gaube,MU,74.37,-20.0064,57.6608,
370,Finschhafen,PG,76.95,-6.6024,147.8681,
376,Meulaboh,ID,77.97,4.1363,96.1285,
378,Ambon,ID,77.14,-3.6954,128.1814,
379,Phan Thiet,VN,78.75,10.9333,108.1,
382,Bengkulu,ID,76.73,-3.8004,102.2655,
383,Talcher,IN,77.95,20.95,85.2167,
387,Weligama,LK,78.04,5.9667,80.4167,
390,Mungeli,IN,73.33,22.0667,81.6833,
392,Kathmandu,NP,70.02,27.7167,85.3167,
393,Champasak,LA,73.4,14.75,106.0,
394,Tura,IN,74.89,25.5198,90.2201,
395,Vanimo,PG,79.07,-2.6741,141.3028,
400,Vaitape,PF,79.48,-16.5167,-151.75,
401,General Elizardo Aquino,PY,77.49,-24.4333,-56.7,
402,Matara,LK,77.85,5.9485,80.5353,
405,Emerald,AU,66.34,-23.5333,148.1667,
410,Merauke,ID,77.11,-8.4667,140.3333,
414,Sawtell,AU,71.19,-30.3833,153.1,
424,Road Town,VG,79.0,18.4167,-64.6167,
428,Ottumwa,US,73.63,41.02,-92.4113,
429,Daru,PG,78.33,-9.0763,143.2092,
430,Iranshahr,IR,79.95,27.2025,60.6848,
431,Lambarene,GA,78.64,-0.7001,10.2406,
432,Noshiro,JP,71.04,40.2039,140.0242,
435,Comodoro Rivadavia,AR,73.26,-45.8667,-67.5,
436,Beloha,MG,68.58,-25.1667,45.05,
438,Port Hedland,AU,68.05,-20.3167,118.5667,
441,Venado Tuerto,AR,72.79,-33.7456,-61.9688,
446,Freeport,US,65.52,40.6576,-73.5832,
447,Isabela,PH,79.38,6.7085,121.9711,
452,Sinjar,IQ,78.46,36.3209,41.8754,
460,Waingapu,ID,76.6,-9.6567,120.2641,
463,Ankola,IN,78.55,14.6667,74.3,
465,Hervey Bay,AU,70.02,-25.2986,152.8535,
468,Two Rivers,US,74.25,44.1539,-87.5693,
470,Teguise,ES,73.62,29.0605,-13.564,
471,Sterling,US,71.74,39.0062,-77.4286,
473,Vao,NC,69.82,-22.6667,167.4833,
479,Linhai,CN,77.94,28.85,121.1167,
484,Malindi,KE,77.23,-3.2175,40.1191,
488,Viedma,AR,79.43,-40.8135,-62.9967,
490,Broome,US,68.38,42.2506,-75.833,
494,Luderitz,,73.04,-26.6481,15.1594,
499,Mbandaka,CD,75.02,0.0487,18.2603,
500,Le Port,RE,73.4,-20.9373,55.2919,
505,Mastic Beach,US,65.53,40.7668,-72.8521,
510,Ilebo,CD,79.3,-4.3167,20.5833,
517,Puerto Baquerizo Moreno,EC,74.39,-0.9,-89.6,
518,Barcelos,PT,76.84,41.5388,-8.6151,
